"Transcript/RepeatID (cmd=analyzeRepeats-pl /home/cbenner/data/software/gencode/hg38/gencode-best-rna hg38 -fpkm -count exons -strand - -minLength 250 -d HMDM-RNAseq-mock-24h-4G2neg-p1 HMDM-RNAseq-mock-24h-4G2neg-p3 HMDM-RNAseq-mock-24h-4G2neg-p4 HMDM-RNAseq-mock-24h-4G2neg-p5 HMDM-RNAseq-mock-24h-4G2neg-p6 HMDM-RNAseq-mock-24h-4G2neg-pooled HMDM-RNAseq-FSSADE-12h-4G2neg-p4 HMDM-RNAseq-FSSADE-12h-4G2neg-p5 HMDM-RNAseq-FSSADE-12h-4G2neg-p6 HMDM-RNAseq-FSSADE-12h-4G2neg-pooled HMDM-RNAseq-FSSADE-12h-4G2pos-p4 HMDM-RNAseq-FSSADE-12h-4G2pos-p5 HMDM-RNAseq-FSSADE-12h-4G2pos-p6 HMDM-RNAseq-FSSADE-12h-4G2pos-pooled HMDM-RNAseq-FSSADE-18h-4G2neg-p4 HMDM-RNAseq-FSSADE-18h-4G2neg-p5 HMDM-RNAseq-FSSADE-18h-4G2neg-p6 HMDM-RNAseq-FSSADE-18h-4G2neg-pooled HMDM-RNAseq-FSSADE-18h-4G2pos-p4 HMDM-RNAseq-FSSADE-18h-4G2pos-p5 HMDM-RNAseq-FSSADE-18h-4G2pos-p6 HMDM-RNAseq-FSSADE-18h-4G2pos-pooled HMDM-RNAseq-FSSADE-24h-4G2neg-p1 HMDM-RNAseq-FSSADE-24h-4G2neg-p3 HMDM-RNAseq-FSSADE-24h-4G2neg-p4 HMDM-RNAseq-FSSADE-24h-4G2neg-p5 HMDM-RNAseq-FSSADE-24h-4G2neg-p6 HMDM-RNAseq-FSSADE-24h-4G2neg-pooled HMDM-RNAseq-FSSADE-24h-4G2pos-p1 HMDM-RNAseq-FSSADE-24h-4G2pos-p3 HMDM-RNAseq-FSSADE-24h-4G2pos-p4 HMDM-RNAseq-FSSADE-24h-4G2pos-p5 HMDM-RNAseq-FSSADE-24h-4G2pos-p6 HMDM-RNAseq-FSSADE-24h-4G2pos-pooled)","chr","start","end","strand","Length","gene_name","Annotation/Divergence","gene_id","gene_type"
"ENST00000354258.4","chr6",32845209,32853978,"-",2938,"TAP1","TAP1|ABC17|ABCB2|APT1|D6S114E|PSF-1|PSF1|RING4|TAP1*0102N|TAP1N|-|6p21.32|protein-coding","ENSG00000168394.10","protein_coding"
"ENST00000259030.2","chr3",187368332,187372076,"+",1551,"RTP4","RTP4|IFRG28|Z3CXXC4|-|3q27.3|protein-coding","ENSG00000136514.2","protein_coding"
"ENST00000361710.6","chr22",36140330,36166177,"-",3556,"APOL3","APOL3|APOLIII|CG121|CG12_1|apoL-III|-|22q12.3|protein-coding","ENSG00000128284.19","protein_coding"
"ENST00000268058.7","chr15",73994717,74046771,"+",4491,"PML","PML|MYL|PP8675|RNF71|TRIM19|-|15q24.1|protein-coding","ENSG00000140464.19","protein_coding"
"ENST00000369583.3","chr10",110497838,110511544,"+",2550,"DUSP5","DUSP5|DUSP|HVH3|-|10q25.2|protein-coding","ENSG00000138166.5","protein_coding"
"ENST00000355295.4","chr9",97411950,97496125,"+",3801,"TDRD7","TDRD7|CATC4|PCTAIRE2BP|TRAP|-|9q22.33|protein-coding","ENSG00000196116.7","protein_coding"
"ENST00000367089.7","chr6",158636474,158644739,"-",717,"DYNLT1","DYNLT1|CW-1|TCTEL1|tctex-1|-|6q25.3|protein-coding","ENSG00000146425.10","protein_coding"
"ENST00000435988.1","chr7",73220646,73235787,"+",1233,"NCF1B","0","ENSG00000182487.12","transcribed_unprocessed_pseudogene"
"ENST00000381652.3","chr9",4985245,5128183,"+",5236,"JAK2","JAK2|JTK10|THCYT3|-|9p24.1|protein-coding","ENSG00000096968.13","protein_coding"
"ENST00000301178.8","chr19",41219203,41261766,"+",4698,"AXL","AXL|ARK|JTK11|Tyro7|UFO|-|19q13.2|protein-coding","ENSG00000167601.11","protein_coding"
"ENST00000394500.2","chr4",117575098,117576109,"-",1011,"NT5C3AP1","0","ENSG00000213492.2","transcribed_processed_pseudogene"
"ENST00000337752.6","chr5",132410981,132465109,"+",4760,"C5orf56","0","ENSG00000197536.11","protein_coding"
"ENST00000444639.5","chr1",175156987,175192943,"-",4487,"KIAA0040","KIAA0040|-|-|1q25.1|protein-coding","ENSG00000235750.9","protein_coding"
"ENST00000333486.3","chr3",49805207,49813946,"-",3252,"UBA7","UBA7|D8|UBA1B|UBE1L|UBE2|-|3p21.31|protein-coding","ENSG00000182179.12","protein_coding"
"ENST00000252593.6","chr19",17402939,17405648,"-",1010,"BST2","BST2|CD317|TETHERIN|-|19p13.11|protein-coding","ENSG00000130303.12","protein_coding"
"ENST00000259727.4","chr6",16238580,16295549,"+",1498,"GMPR","GMPR|GMPR 1|GMPR1|-|6p22.3|protein-coding","ENSG00000137198.9","protein_coding"
"ENST00000429976.5","chr3",36826820,36945057,"-",10436,"TRANK1","TRANK1|LBA1|-|3p22.2|protein-coding","ENSG00000168016.13","protein_coding"
"ENST00000380152.7","chr13",32315474,32400266,"+",11933,"BRCA2","BRCA2|BRCC2|BROVCA2|FACD|FAD|FAD1|FANCD|FANCD1|GLM3|PNCA2|XRCC11|-|13q13.1|protein-coding","ENSG00000139618.14","protein_coding"
"ENST00000455551.6","chr9",89361609,89498130,"-",3555,"SEMA4D","0","ENSG00000187764.11","protein_coding"
"ENST00000296161.8","chr3",122564238,122575203,"+",5859,"DTX3L","DTX3L|BBAP|-|3q21.1|protein-coding","ENSG00000163840.9","protein_coding"
"ENST00000454686.1","chr6",36673817,36675270,"+",1453,"LAP3P2","0","ENSG00000213500.3","processed_pseudogene"
"ENST00000409652.4","chr22",35648395,35668409,"+",10116,"APOL6","APOL6|APOL-VI|APOLVI|-|22q12.3|protein-coding","ENSG00000221963.5","protein_coding"
"ENST00000468472.1","chr3",52813282,52835729,"-",5593,"RP5-966M1.6","0","ENSG00000243696.4","protein_coding"
"ENST00000504329.1","chr3",52833150,52897562,"-",1386,"TMEM110-MUSTN1","TMEM110-MUSTN1|-|-|3p21.1|protein-coding","ENSG00000248592.7","protein_coding"
"ENST00000374897.2","chr6",32825415,32838780,"-",5661,"TAP2","TAP2|ABC18|ABCB3|APT2|D6S217E|PSF-2|PSF2|RING11|-|6p21.32|protein-coding","ENSG00000204267.13","protein_coding"
"ENST00000449264.2","chr6",31575567,31578336,"+",1669,"TNF","TNF|DIF|TNF-alpha|TNFA|TNFSF2|TNLG1F|-|6p21.33|protein-coding","ENSG00000232810.3","protein_coding"
"ENST00000373451.8","chr6",37433220,37481506,"+",3986,"CMTR1","CMTR1|FTSJD2|KIAA0082|MTr1|hMTr1|-|6p21.2|protein-coding","ENSG00000137200.12","protein_coding"
"ENST00000622931.1","chr17",80339898,80342058,"+",2160,"CTD-2047H16.3","0","ENSG00000280248.1","TEC"
"ENST00000451794.5","chr2",96497643,96505357,"-",1454,"NEURL3","NEURL3|LINCR|-|2q11.2|protein-coding","ENSG00000163121.9","protein_coding"
"ENST00000392045.7","chr2",230225731,230313212,"+",3193,"SP140","SP140|LYSP100|LYSP100-A|LYSP100-B|-|2q37.1|protein-coding","ENSG00000079263.18","protein_coding"
"ENST00000373456.11","chr1",32936445,32964685,"-",2543,"RNF19B","RNF19B|IBRDC3|NKLAM|-|1p35.1|protein-coding","ENSG00000116514.16","protein_coding"
"ENST00000508628.6","chr17",80260866,80395312,"+",17593,"RNF213","RNF213|ALO17|C17orf27|KIAA1618|MYMY2|MYSTR|NET57|-|17q25.3|protein-coding","ENSG00000173821.19","protein_coding"
"ENST00000608933.5","chr4",88257620,88284736,"-",6471,"PPM1K","PPM1K|BDP|MSUDMV|PP2Ckappa|PP2Cm|PTMP|UG0882E07|-|4q22.1|protein-coding","ENSG00000163644.14","protein_coding"
"ENST00000306621.7","chr4",76033682,76036197,"-",1599,"CXCL11","CXCL11|H174|I-TAC|IP-9|IP9|SCYB11|SCYB9B|b-R1|-|4q21.1|protein-coding","ENSG00000169248.12","protein_coding"
"ENST00000216802.9","chr14",24143365,24147221,"-",1383,"PSME2","PSME2|PA28B|PA28beta|REGbeta|-|14q12|protein-coding","ENSG00000100911.15","protein_coding"
"ENST00000370495.5","chr10",99610522,99620364,"-",1444,"SLC25A28","SLC25A28|MFRN2|MRS3/4|MRS4L|NPD016|-|10q24.2|protein-coding","ENSG00000155287.10","protein_coding"
"ENST00000393892.7","chr17",41966741,41977731,"+",5210,"CNP","CNP|CNP1|-|17q21.2|protein-coding","ENSG00000173786.16","protein_coding"
"ENST00000394620.1","chr17",34319036,34321402,"+",1256,"CCL8","CCL8|HC14|MCP-2|MCP2|SCYA10|SCYA8|-|17q12|protein-coding","ENSG00000108700.4","protein_coding"
"ENST00000216038.5","chr22",32387582,32412255,"-",2004,"RTCB","RTCB|C22orf28|DJ149A16.6|FAAP|HSPC117|-|22q12.3|protein-coding","ENSG00000100220.11","protein_coding"
"ENST00000367808.7","chr1",169367970,169388305,"+",2736,"BLZF1","BLZF1|GOLGIN-45|JEM-1|JEM-1s|JEM1|-|1q24.2|protein-coding","ENSG00000117475.13","protein_coding"
"ENST00000253110.15","chr19",10086130,10093245,"+",2102,"C19orf66","C19orf66|IRAV|RyDEN|-|19p13.2|protein-coding","ENSG00000130813.17","protein_coding"
"ENST00000216044.9","chr22",38705723,38733587,"+",5103,"GTPBP1","GTPBP1|GP-1|GP1|HSPC018|-|22q13.1|protein-coding","ENSG00000100226.15","protein_coding"
"ENST00000241261.6","chr3",172505508,172523507,"-",1944,"TNFSF10","TNFSF10|APO2L|Apo-2L|CD253|TL2|TNLG6A|TRAIL|-|3q26.31|protein-coding","ENSG00000121858.10","protein_coding"
"ENST00000266041.8","chr3",52812975,52830739,"-",3289,"ITIH4","ITIH4|GP120|H4P|IHRP|ITI-HC4|ITIHL1|PK-120|PK120|-|3p21.1|protein-coding","ENSG00000055955.15","protein_coding"
"ENST00000333467.3","chr22",38982409,38992784,"+",1518,"APOBEC3B","APOBEC3B|A3B|APOBEC1L|ARCD3|ARP4|DJ742C19.2|PHRBNL|bK150C2.2|-|22q13.1|protein-coding","ENSG00000179750.15","protein_coding"
"ENST00000370608.7","chr1",84925583,84996940,"-",2844,"MCOLN2","MCOLN2|TRP-ML2|TRPML2|-|1p22.3|protein-coding","ENSG00000153898.12","protein_coding"
"ENST00000407997.3","chr22",39077005,39087743,"+",1819,"APOBEC3G","APOBEC3G|A3G|ARCD|ARP-9|ARP9|CEM-15|CEM15|MDS019|bK150C2.7|dJ494G10.1|-|22q13.1|protein-coding","ENSG00000239713.8","protein_coding"
"ENST00000452392.2","chr6",32813767,32838822,"-",2676,"XXbac-BPG246D15.9","0","ENSG00000250264.1","protein_coding"
"ENST00000373087.6","chr1",37474552,37484379,"+",2673,"ZC3H12A","ZC3H12A|MCPIP|MCPIP-1|MCPIP1|Reg1|dJ423B22.1|-|1p34.3|protein-coding","ENSG00000163874.10","protein_coding"
"ENST00000251630.10","chr8",17576433,17643133,"+",1888,"PDGFRL","0","ENSG00000104213.12","protein_coding"
"ENST00000368474.8","chr1",154582062,154608206,"-",6596,"ADAR","ADAR|ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136|-|1q21.3|protein-coding","ENSG00000160710.15","protein_coding"
"ENST00000361171.7","chr9",126326849,126507041,"+",4800,"MVB12B","MVB12B|C9orf28|FAM125B|-|9q33.3|protein-coding","ENSG00000196814.14","protein_coding"
"ENST00000273153.9","chr3",39141855,39153575,"-",3139,"CSRNP1","CSRNP1|AXUD1|CSRNP-1|FAM130B|TAIP-3|URAX1|-|3p22.2|protein-coding","ENSG00000144655.14","protein_coding"
"ENST00000343295.8","chr8",39934614,40016391,"+",4243,"IDO2","0","ENSG00000188676.13","protein_coding"
"ENST00000245185.5","chr16",56608199,56609497,"+",781,"MT2A","MT2A|MT-2|MT-II|MT2|-|16q13|protein-coding","ENSG00000125148.6","protein_coding"
"ENST00000262510.10","chr16",56989498,57083524,"+",6725,"NLRC5","NLRC5|CLR16.1|NOD27|NOD4|-|16q13|protein-coding","ENSG00000140853.15","protein_coding"
"ENST00000289473.8","chr7",74773962,74789313,"+",1375,"NCF1","NCF1|NCF1A|NOXO2|SH3PXD1A|p47phox|-|7q11.23|protein-coding","ENSG00000158517.13","protein_coding"
"ENST00000397278.7","chr22",36253010,36267525,"+",2907,"APOL1","APOL1|APO-L|APOL|APOL-I|FSGS4|-|22q12.3|protein-coding","ENSG00000100342.20","protein_coding"
"ENST00000376753.8","chr1",11664124,11674354,"+",1509,"FBXO6","FBXO6|FBG2|FBS2|FBX6|Fbx6b|-|1p36.22|protein-coding","ENSG00000116663.10","protein_coding"
"ENST00000368141.4","chr1",158831317,158849504,"+",1739,"MNDA","MNDA|PYHIN3|-|1q23.1|protein-coding","ENSG00000163563.7","protein_coding"
"ENST00000203629.2","chr12",6772520,6778453,"+",1959,"LAG3","LAG3|CD223|-|12p13.31|protein-coding","ENSG00000089692.8","protein_coding"
"ENST00000313028.11","chr8",143977160,143986454,"-",3476,"PARP10","PARP10|ARTD10|-|8q24.3|protein-coding","ENSG00000178685.13","protein_coding"
"ENST00000438382.2","chr7",75156639,75172044,"-",1406,"NCF1C","NCF1C|SH3PXD1C|-|7q11.23|pseudo","ENSG00000165178.9","unprocessed_pseudogene"
"ENST00000413040.6","chr7",151341699,151378449,"+",3151,"NUB1","NUB1|BS4|NUB1L|NYREN18|-|7q36.1|protein-coding","ENSG00000013374.15","protein_coding"
"ENST00000464839.5","chr1",89106132,89150456,"-",3658,"GBP2","0","ENSG00000162645.12","protein_coding"
"ENST00000341114.7","chr19",49889654,49929539,"-",2330,"IL4I1","IL4I1|FIG1|LAAO|LAO|-|19q13.33|protein-coding","ENSG00000104951.15","protein_coding"
"ENST00000609438.1","chr4",89236386,89308010,"-",14241,"GPRIN3","GPRIN3|GRIN3|-|4q22.1|protein-coding","ENSG00000185477.4","protein_coding"
"ENST00000264246.7","chr3",119524293,119559602,"-",2712,"CD80","CD80|B7|B7-1|B7.1|BB1|CD28LG|CD28LG1|LAB7|-|3q13.33|protein-coding","ENSG00000121594.11","protein_coding"
"ENST00000357324.10","chr19",19645203,19663693,"-",3810,"ATP13A1","ATP13A1|ATP13A|CGI-152|-|19p13.11|protein-coding","ENSG00000105726.16","protein_coding"
"ENST00000273582.9","chr3",197671393,197749699,"-",6914,"RUBCN","RUBCN|KIAA0226|RUBICON|SCAR15|-|3q29|protein-coding","ENSG00000145016.15","protein_coding"
