GeneSymbol,in_Zika_Up,in_Zika_Down,in_Dengue_Up,in_Dengue_Down
AFMID,False,False,True,False
AFTPH,True,False,True,False
AGA,False,False,True,False
AGAP1,False,False,False,True
AGAP3,False,False,False,True
AGAP4,False,False,False,True
AGAP5,True,False,False,False
AGAP6,True,False,False,False
AGAP7,True,False,False,False
AGBL2,False,False,False,True
AGBL5,False,True,False,False
AGFG1,True,False,True,False
AGFG2,True,False,False,True
AGGF1,False,False,True,False
AGK,False,True,False,False
AGO1,False,False,False,True
AGO2,True,False,False,False
AGO3,True,False,False,False
AGO4,True,False,False,False
AGPAT1,False,True,False,False
AGPAT3,False,True,False,False
AGPAT4,False,False,False,True
AGPS,False,False,True,False
AGRN,False,True,True,False
AGTRAP,False,True,False,False
AGXT2L2,False,True,False,False
AHCTF1,True,False,False,False
AHCY,False,True,True,False
AHCYL2,True,False,False,True
AHDC1,True,False,False,True
AHI1,False,False,True,False
AHNAK,False,True,False,True
AHNAK2,False,False,False,True
AHR,True,False,False,False
AHSA1,False,False,True,False
AHSA2,False,True,False,False
AIF1,False,True,False,False
AIF1L,False,True,False,False
AIFM1,True,False,True,False
AIFM2,False,False,True,False
AIM2,False,False,True,False
AIMP2,False,False,True,False
AJM1,False,False,False,True
AK2,False,True,False,False
AK5,False,False,False,True
AK6,False,False,True,False
AK7,False,True,False,False
AK8,False,False,False,True
AKAP1,False,True,True,False
AKAP10,True,False,False,False
AKAP2,False,True,False,False
AKAP3,False,True,False,False
AKAP5,False,False,False,True
AKAP6,True,False,False,False
AKAP7,False,True,False,False
AKAP8,True,False,False,False
AKAP8L,True,False,False,False
AKAP9,True,False,True,False
AKD1,False,True,False,False
AKIP1,False,False,True,False
AKIRIN1,True,False,False,False
AKIRIN2,True,False,False,False
AKNA,True,False,False,True
AKR1A1,False,False,True,False
AKR1B1,False,True,False,False
AKR1C3,False,False,False,True
AKR7A2,False,False,False,True
AKR7L,False,True,False,False
AKT1,False,False,False,True
AKT1S1,False,True,False,False
AKT2,False,True,False,False
ALAS1,True,False,True,False
ALCAM,False,False,True,False
ALDH16A1,False,True,False,False
ALDH18A1,False,True,True,False
ALDH1A1,False,True,False,False
ALDH1B1,False,False,True,False
ALDH1L2,True,False,True,False
ALDH2,True,False,False,False
ALDH4A1,False,True,True,False
ALDH5A1,False,True,False,False
ALDH7A1,False,True,True,False
ALDH8A1,True,False,False,False
ALDOC,True,False,False,True
ALG1,False,False,True,False
ALG10,False,False,True,False
ALG10B,False,True,False,False
ALG11,False,False,True,False
ALG13,False,True,False,False
ALG14,False,True,True,False
ALG2,True,False,True,False
ALG3,True,False,True,False
ALG5,True,False,True,False
ALG6,False,True,True,False
ALG8,False,True,True,False
ALG9,False,False,True,False
ALKAL2,False,False,False,True
ALKBH1,True,False,False,False
ALKBH2,False,True,False,False
ALKBH5,True,False,False,False
ALKBH8,True,False,False,False
ALMS1,False,True,False,False
ALOX15,False,False,False,True
ALPK3,True,False,False,False
ALPL,False,True,False,False
ALS2,True,False,False,False
ALS2CL,False,False,False,True
ALS2CR8,False,True,False,False
ALYREF,False,False,True,False
AMDHD2,False,True,False,False
AMFR,False,False,False,True
AMIGO1,False,False,False,True
AMIGO2,False,True,False,False
AMMECR1,True,False,False,False
AMMECR1L,True,False,False,False
AMOT,False,False,False,True
AMOTL1,False,False,False,True
AMPD2,False,False,False,True
AMPD3,False,False,False,True
AMT,False,True,False,False
AMY2B,False,True,False,False
AMZ2P1,True,False,False,False
ANAPC1,False,True,False,False
ANAPC10,False,False,True,False
ANAPC11,False,True,True,False
ANAPC13,False,True,False,False
ANAPC16,False,False,False,True
ANAPC1P4,False,False,False,True
ANAPC5,False,False,True,False
ANAPC7,False,True,True,False
ANG,False,False,True,False
ANGEL2,False,True,True,False
ANGPT1,False,False,False,True
ANGPTL2,False,True,False,False
ANK3,True,False,False,False
ANKAR,False,False,False,True
ANKDD1A,False,False,True,False
ANKH,False,False,False,True
ANKIB1,False,False,True,False
ANKLE1,False,False,True,False
ANKMY1,False,False,False,True
ANKRA2,True,False,False,True
ANKRD1,False,True,False,False
ANKRD10,True,False,False,False
ANKRD11,True,False,False,False
ANKRD12,True,False,False,False
ANKRD13B,False,True,False,False
ANKRD13C,True,False,False,False
ANKRD17,True,False,False,False
ANKRD19P,True,False,False,False
ANKRD20A9P,False,True,False,False
ANKRD22,False,False,True,False
ANKRD26,False,False,True,False
ANKRD28,False,False,True,False
ANKRD33B,True,False,False,False
ANKRD34B,False,True,False,False
ANKRD36,False,True,False,False
ANKRD36B,False,True,False,False
ANKRD39,False,False,True,False
ANKRD42,False,False,False,True
ANKRD44,False,False,False,True
ANKRD45,False,True,True,False
ANKRD46,True,False,True,False
ANKRD50,True,False,False,False
ANKRD6,False,False,False,True
ANKRD65,False,False,True,False
ANKRD9,False,True,False,False
ANKS6,False,True,False,True
ANKZF1,True,False,False,False
ANLN,False,True,True,False
ANO1,False,True,False,False
ANO5,False,False,True,False
ANP32A,False,True,False,False
ANP32E,False,True,True,False
ANTXR1,False,True,False,False
ANTXR2,False,True,False,False
ANXA1,False,True,False,False
ANXA11,False,True,False,False
ANXA2,False,True,True,False
ANXA2R,False,False,False,True
ANXA5,False,False,True,False
AP1AR,True,False,False,False
AP1G1,False,False,True,False
AP1S1,False,True,True,False
AP1S3,False,False,True,False
AP2A2,True,False,False,False
AP3B1,True,False,True,False
AP3D1,True,False,True,False
AP3M1,False,True,False,False
AP3M2,False,True,False,False
AP4E1,True,False,False,False
AP5M1,False,False,True,False
AP5S1,False,True,False,False
APAF1,True,False,False,False
APBA1,True,False,False,True
APBA2,False,True,False,True
APBB1,True,False,False,True
APC,True,False,False,False
APC2,True,False,False,False
APCDD1,False,True,False,True
APEX1,False,True,False,False
APEX2,False,False,True,False
APIP,False,False,True,False
"APITD1,APITD1-CORT",False,True,False,False
APLF,True,False,False,False
APLP1,True,False,False,False
APLP2,False,True,False,False
APMAP,False,True,False,False
APOA1BP,False,True,False,False
APOBEC3B,False,False,True,False
APOBEC3C,False,True,False,False
APOBEC3D,False,False,True,False
APOBEC3F,False,False,True,False
APOBEC3G,False,False,True,False
APOBEC3H,False,False,True,False
APOBR,False,True,False,False
APOE,False,False,True,False
APOL1,False,False,True,False
APOL2,False,False,True,False
APOL3,True,False,True,False
APOL6,True,False,True,False
APOLD1,False,True,False,False
APOO,False,True,True,False
APOOL,True,False,False,False
APPBP2,True,False,True,False
APPL1,True,False,False,False
APPL2,False,False,False,True
APRT,False,True,False,False
APTX,False,False,True,False
AQP3,False,False,True,False
AQP7P1,False,True,False,False
AQP7P3,False,True,False,False
AQPEP,True,False,False,False
AQR,True,False,False,False
ARAP2,True,False,False,False
ARAP3,True,False,False,True
ARB2A,False,False,False,True
ARCN1,True,False,True,False
ARF1,True,False,False,False
ARF4,True,False,True,False
ARF6,True,False,False,False
ARFGAP1,True,False,True,False
ARFGAP3,True,False,True,False
ARFGEF2,True,False,False,False
ARFIP1,True,False,False,False
ARFIP2,True,False,False,False
ARGLU1,False,True,False,False
ARHGAP1,True,False,False,False
ARHGAP10,False,False,False,True
ARHGAP11A,False,True,True,False
ARHGAP11B,False,True,True,False
ARHGAP12,False,False,False,True
ARHGAP18,False,False,True,False
ARHGAP22,False,True,False,False
ARHGAP23,True,False,True,False
ARHGAP24,False,False,False,True
ARHGAP26,True,False,False,False
ARHGAP30,False,True,False,False
ARHGAP32,False,False,False,True
ARHGAP33,False,True,False,False
ARHGAP35,False,False,False,True
ARHGAP39,True,False,False,True
ARHGAP42,True,False,True,False
ARHGAP44,False,False,True,False
ARHGAP5,True,False,False,False
ARHGAP9,True,False,False,False
ARHGDIB,False,True,False,False
ARHGEF1,True,False,False,True
ARHGEF10,False,True,False,False
ARHGEF11,True,False,False,False
ARHGEF16,False,True,False,False
ARHGEF18,False,False,False,True
ARHGEF19,False,True,False,False
ARHGEF2,True,False,False,False
ARHGEF25,False,True,False,True
ARHGEF28,False,False,False,True
ARHGEF33,True,False,False,False
ARHGEF35,False,False,True,False
ARHGEF37,False,False,True,False
ARHGEF39,False,True,True,False
ARHGEF40,False,False,False,True
ARHGEF5,False,False,True,False
ARHGEF6,False,True,False,True
ARHGEF9,False,False,False,True
ARID1A,False,False,False,True
ARID1B,False,False,False,True
ARID3A,False,False,True,False
ARID3B,True,False,False,False
ARID4A,True,False,False,False
ARID4B,True,False,False,False
ARID5A,True,False,False,False
ARID5B,True,False,False,False
ARIH1,True,False,False,False
ARIH2,True,False,False,False
ARK2C,False,False,False,True
ARL1,True,False,True,False
ARL10,False,True,False,False
ARL13B,True,False,False,False
ARL2BP,True,False,False,True
ARL3,False,True,False,False
ARL4C,False,False,False,True
ARL4D,False,False,False,True
ARL5A,True,False,True,False
ARL5B,True,False,False,False
ARL6,True,False,False,False
ARL6IP4,False,True,False,False
ARL6IP5,True,False,False,False
ARL6IP6,False,True,False,False
ARL8A,True,False,False,False
ARL8B,True,False,True,False
ARL9,False,True,False,False
ARMC1,False,False,True,False
ARMC2,False,True,False,True
ARMC3,False,True,False,True
ARMC4,False,True,False,False
ARMC5,False,True,False,False
ARMC6,False,True,False,False
ARMCX1,True,False,False,False
ARMCX3,False,False,True,False
ARNT,True,False,False,False
ARNT2,False,True,False,False
ARNTL2,True,False,False,False
ARPC1A,False,False,True,False
ARPC5,False,False,True,False
ARPC5L,False,False,True,False
ARPIN,False,True,False,False
ARPP19,False,False,True,False
ARRB1,False,False,False,True
ARRDC1,False,True,False,False
ARRDC2,False,False,False,True
ARRDC3,True,False,False,False
ARSA,False,True,False,False
ARSB,False,True,True,False
ARSD,False,True,False,False
ARSG,False,True,False,True
ART5,False,True,False,False
ARV1,False,True,True,False
ARVCF,False,True,False,True
ASAP1,True,False,False,False
ASB1,False,False,False,True
ASB12,True,False,False,False
ASB13,False,True,False,True
ASB16-AS1,False,True,False,False
ASB3,True,False,True,False
ASB7,True,False,False,False
ASB8,False,False,True,False
ASCC1,False,False,True,False
ASCC2,True,False,False,False
ASCC3,True,False,True,False
ASCL1,True,False,False,False
ASF1B,False,True,True,False
ASGR1,True,False,False,False
ASH1L,True,False,False,True
ASH2L,False,False,True,False
ASIC1,False,True,False,True
ASNA1,False,True,False,False
ASNS,True,False,True,False
ASNSD1,True,False,False,False
ASPHD2,False,False,True,False
ASPM,False,True,True,False
ASPNAT,False,False,False,True
ASPRV1,False,True,False,False
ASPSCR1,False,True,False,False
ASRGL1,False,True,False,False
ASS1,True,False,True,False
ASTL,False,False,False,True
ASTN1,False,True,False,False
ASUN,True,False,False,False
ASXL2,True,False,False,False
ASXL3,True,False,False,False
ATAD1,True,False,False,False
ATAD2,False,True,True,False
ATAD3A,False,False,True,False
ATAD5,False,True,True,False
ATCAY,True,False,False,False
ATE1,True,False,False,False
ATF2,True,False,True,False
ATF3,True,False,False,False
ATF4,True,False,False,False
ATF5,True,False,True,False
ATF6,False,True,False,False
ATF6B,False,True,False,False
ATF7IP,False,False,False,True
ATG101,False,False,True,False
ATG14,False,False,False,True
ATG16L1,True,False,False,True
ATG16L2,False,True,False,False
ATG2A,True,False,False,False
ATG2B,True,False,False,False
ATG3,True,False,True,False
ATG4A,True,False,True,False
ATG4C,False,False,True,False
ATG4D,True,False,False,False
ATG9B,False,False,False,True
ATHL1,False,True,False,False
ATIC,False,False,True,False
ATM,False,False,False,True
ATMIN,True,False,False,False
ATN1,False,False,False,True
ATOX1,False,False,True,False
ATP11B,True,False,False,False
ATP11C,False,True,False,False
ATP13A1,True,False,True,False
ATP13A3,False,False,True,False
ATP1A1,False,True,False,False
ATP1A2,False,True,False,False
ATP1A3,True,False,False,True
ATP1B2,True,False,True,False
ATP1B3,False,True,True,False
ATP2A2,False,False,True,False
ATP2A3,False,True,False,False
ATP2B4,False,False,False,True
ATP2C1,False,False,True,False
ATP5F1A,False,False,True,False
ATP5F1B,False,False,True,False
ATP5F1C,False,False,True,False
ATP5G1,False,True,False,False
ATP5G2,False,True,False,False
ATP5MC1,False,False,True,False
ATP5MC3,False,False,True,False
ATP5MF,False,False,True,False
ATP5MK,False,False,True,False
ATP5PD,False,False,True,False
ATP5PF,False,False,True,False
ATP5S,False,True,False,False
ATP6AP1,True,False,False,False
ATP6V0A1,False,True,False,False
ATP6V0B,True,False,False,False
ATP6V0C,True,False,False,False
ATP6V0E2,False,True,False,True
ATP6V1A,True,False,False,False
ATP6V1B2,True,True,False,False
ATP6V1C1,False,False,True,False
ATP6V1E1,True,False,True,False
ATP6V1E2,False,True,False,False
ATP6V1G1,True,False,False,False
ATP6V1H,True,False,True,False
ATP8A1,True,False,False,True
ATP8B2,True,False,False,False
ATPAF1,False,False,True,False
ATPBD4,False,True,False,False
ATRAID,False,True,False,False
ATRNL1,False,True,False,False
ATXN1,True,False,False,False
ATXN1L,True,False,False,False
ATXN2,True,False,False,False
ATXN2L,True,False,False,False
ATXN3,True,False,False,False
ATXN7,True,False,False,False
ATXN7L1,True,False,False,True
ATXN7L3B,False,True,False,False
AUH,True,False,False,False
AUNIP,False,False,True,False
AUP1,True,False,False,False
AURKA,False,True,True,False
AURKAIP1,False,False,True,False
AURKB,False,True,True,False
AURKC,True,False,False,False
AUTS2,False,False,False,True
AVEN,False,False,True,False
AVIL,False,False,False,True
AVL9,True,False,False,False
AVPR1B,False,True,False,False
AXIN1,True,False,False,True
AXIN2,False,False,False,True
AXL,True,False,True,False
AZI2,True,False,True,False
AZIN2,False,False,False,True
B3GALTL,False,True,False,False
B3GAT1,False,True,False,False
B3GAT3,False,True,False,False
B3GNT5,False,True,False,False
B3GNT7,False,False,False,True
B3GNT9,False,False,True,False
B3GNTL1,False,True,False,False
B4GALNT4,True,False,False,False
B4GALT1,False,True,False,False
B4GALT2,False,True,True,False
B4GALT3,False,False,True,False
B4GALT4,False,False,True,False
B4GALT6,False,True,False,True
B9D1,False,True,True,False
BAALC,False,True,False,True
BABAM1,False,True,False,False
BABAM2,False,False,False,True
BACH2,True,False,False,True
BAD,True,False,False,False
BAG2,True,False,True,False
BAG3,True,False,False,False
BAG4,True,False,False,False
BAG5,False,False,False,True
BAHCC1,True,False,False,False
BAHD1,True,False,False,True
BAI1,True,False,False,False
BAI2,False,True,False,False
BAI3,True,False,False,False
BAIAP2,True,False,False,True
BAIAP2-AS1,False,True,False,False
BAIAP2L1,False,True,False,False
BAIAP2L2,False,False,False,True
BAIAP3,True,False,False,True
BAK1,False,False,True,False
BAMBI,True,False,False,False
BANF1,False,True,False,False
BANK1,False,False,False,True
BANP,False,False,False,True
BARD1,False,True,True,False
BATF,True,False,True,False
BATF2,False,False,True,False
BATF3,True,False,False,False
BAX,False,False,True,False
BAZ1B,False,False,True,False
BAZ2A,True,False,False,False
BBC3,True,False,False,True
BBIP1,False,True,False,False
BBS1,False,False,False,True
BBS10,False,True,False,False
BBS12,True,False,True,False
BBS7,True,False,False,False
BBS9,False,False,False,True
BBX,True,False,False,False
BCAM,False,True,False,False
BCAN,False,False,True,False
BCAP29,False,True,False,True
BCAR1,True,False,True,False
BCAR3,False,False,True,False
BCAS2,True,False,False,False
BCAS3,True,False,False,True
BCAS4,True,False,False,True
BCAT1,True,False,False,False
BCCIP,False,True,True,False
BCHE,False,True,False,False
BCKDHA,True,False,False,False
BCKDHB,False,True,False,False
BCL10,True,False,False,False
BCL11A,True,False,False,True
BCL11B,True,False,False,True
BCL2L12,False,True,True,False
BCL2L13,True,False,False,False
BCL2L14,False,False,True,False
BCL2L2-PABPN1,False,True,False,False
BCL3,True,False,False,False
BCL6,True,False,False,False
BCL7A,False,True,False,False
BCL7C,False,False,False,True
BCL9L,True,False,False,True
BCLAF1,True,False,False,False
BCORL1,False,False,False,True
BCR,True,False,False,True
BCRP2,False,True,False,False
BCS1L,False,False,True,False
BDH2,False,True,False,False
BDNF,True,False,False,False
BDNF-AS,False,True,False,False
BDP1,True,False,False,False
BEGAIN,True,False,False,False
BEND2,False,False,False,True
BEND3,False,True,True,False
BEND3P3,True,False,False,False
BEND4,True,False,False,False
BEND7,True,False,False,False
BET1,True,False,True,False
BFAR,False,False,True,False
BFSP1,False,False,False,True
BFSP2,False,False,True,False
BHLHA15,False,False,True,False
BHLHE23,False,True,False,False
BHLHE40,True,False,False,True
BHLHE41,True,False,True,False
BICD1,True,False,False,False
BICD2,False,False,False,True
BICDL1,False,False,False,True
BICRA,False,False,False,True
BICRAL,False,False,False,True
BIK,False,False,True,False
BIN1,True,False,False,True
BIRC2,True,False,False,False
BIRC5,False,True,True,False
BIRC6,True,False,False,False
BIVM,False,True,False,False
BKGD,False,False,True,False
BLCAP,False,False,False,True
BLK,False,False,False,True
BLM,False,True,True,False
BLMH,False,False,True,False
BLNK,False,False,True,False
BLOC1S1,False,True,False,False
BLOC1S2,True,False,False,False
BLOC1S3,True,False,False,False
BLOC1S4,False,False,False,True
BLVRA,False,True,True,False
BLVRB,True,False,False,False
BLZF1,False,False,True,False
BMAL2,False,False,True,False
BMERB1,False,False,False,True
BMI1,False,False,False,True
BMP1,False,True,False,True
BMP2,True,False,False,True
BMP3,True,False,False,False
BMP4,True,False,False,False
BMP6,False,False,True,False
BMP7,False,True,False,False
BMP8B,False,False,True,False
BMPER,True,False,False,False
BMS1,False,False,True,False
BMS1P4,True,False,False,False
BMT2,True,False,False,False
BNC2,False,False,False,True
BNIP2,True,False,False,False
BNIP3,True,False,False,False
BOD1L1,True,False,False,False
BOK,False,True,False,False
BOLA1,False,True,False,False
BOLA2,False,False,True,False
BOLA2-SMG1P6,False,False,True,False
BOLA2B,False,False,True,False
BOLA3,False,False,True,False
BOP1,False,True,True,False
BORA,False,False,True,False
BPHL,False,True,False,True
BPNT1,False,False,True,False
BPNT2,False,False,True,False
BRAF,True,False,False,True
BRAP,True,False,False,False
BRAT1,False,True,False,False
BRCA1,False,True,True,False
BRCA2,False,True,True,False
BRCC3,True,False,True,False
BRD1,True,False,False,True
BRD10,False,False,False,True
BRD2,True,False,False,False
BRD3,False,False,False,True
BRD3OS,False,False,False,True
BRD4,True,False,False,False
BRD7,False,True,False,False
BRF2,True,False,False,False
BRI3BP,False,True,True,False
BRIP1,False,True,True,False
BRIX1,True,False,False,False
BRK1,False,True,False,False
BRMS1L,True,False,True,False
BROX,True,False,False,False
BRPF1,True,False,False,False
BRPF3,True,False,False,False
BRSK1,True,False,False,True
BRWD1-IT2,False,True,False,False
BRWD3,True,False,False,False
BSCL2,False,False,True,False
BSN,True,False,False,False
BSPRY,False,False,True,False
BST2,False,False,True,False
BTAF1,False,True,True,False
BTBD1,True,False,False,False
BTBD10,True,False,True,False
BTBD17,False,True,False,False
BTBD19,False,True,False,False
BTBD2,False,False,False,True
BTBD7,False,False,False,True
BTBD9,False,False,False,True
BTD,False,True,False,False
BTF3,False,False,False,True
BTG1,True,False,False,True
BTG2,False,True,False,True
BTK,False,False,True,False
BTN1A1,False,False,True,False
BTN2A2,False,True,True,False
BTNL9,False,False,False,True
BUB1,False,True,True,False
BUB1B,False,True,True,False
BUB1B-PAK6,False,False,False,True
BUB3,False,True,False,False
BUD23,False,False,True,False
BUD31,True,False,False,False
BYSL,False,True,True,False
BZRAP1,False,True,False,False
BZW1,False,True,False,False
C10ORF114,False,True,False,False
C10ORF118,True,False,False,False
C10ORF12,True,False,False,False
C10ORF143,False,False,False,True
C10ORF32,False,True,False,False
C10ORF95,False,False,False,True
C11ORF24,False,False,True,False
C11ORF58,False,False,True,False
C11ORF71,False,True,True,False
C11ORF75,False,True,False,False
C11ORF82,False,True,False,False
C11ORF84,True,False,False,False
C11ORF95,False,True,False,False
C11ORF98,False,False,True,False
C12ORF23,True,False,False,False
C12ORF42,False,False,False,True
C12ORF45,True,False,False,False
C12ORF49,True,False,False,False
C12ORF5,True,False,False,False
C12ORF57,True,False,False,True
C12ORF65,True,False,False,False
C12ORF75,False,True,True,False
C12ORF76,False,True,False,False
C14ORF119,False,False,True,False
C14ORF132,False,True,False,True
C14ORF159,False,True,False,False
C14ORF169,True,False,False,False
C14ORF2,False,True,False,False
C14ORF28,True,False,False,False
C14ORF80,False,True,False,False
C15ORF38,False,True,False,False
C15ORF59,False,True,False,False
C15ORF62,False,False,False,True
C16ORF55,False,True,False,False
C16ORF59,False,True,False,False
C16ORF72,True,False,False,False
C16ORF80,True,False,False,False
C16ORF87,True,False,False,False
C16ORF88,False,True,False,False
C16ORF95,False,False,True,False
C16ORF96,False,False,False,True
C17ORF100,False,True,False,False
C17ORF113,False,False,False,True
C17ORF51,False,True,False,False
C17ORF53,False,True,False,False
C17ORF59,True,False,False,False
C17ORF62,False,True,False,False
C17ORF70,False,True,False,False
C17ORF72,False,True,False,False
C17ORF75,False,False,True,False
C17ORF89,False,True,False,False
C17ORF96,False,True,False,False
C18ORF25,True,False,False,False
C18ORF54,False,True,False,False
C19ORF10,True,False,False,False
C19ORF18,False,True,False,False
C19ORF26,True,False,False,False
C19ORF33,False,False,False,True
C19ORF48,False,True,False,False
C19ORF48P,False,False,True,False
C19ORF55,False,True,False,False
C19ORF57,False,True,False,False
C19ORF60,False,True,False,False
C1D,True,False,True,False
C1GALT1,False,False,True,False
C1GALT1C1,False,True,True,False
C1ORF106,False,True,False,False
C1ORF109,True,False,False,False
C1ORF112,False,True,False,False
C1ORF114,True,False,False,False
C1ORF115,False,True,False,True
C1ORF159,False,True,False,False
C1ORF167,False,False,True,False
C1ORF189,False,True,False,False
C1ORF21,False,False,False,True
C1ORF216,False,True,False,False
C1ORF220,False,True,False,False
C1ORF226,False,False,True,False
C1ORF228,False,True,False,False
C1ORF233,False,True,False,False
C1ORF35,True,False,False,False
C1ORF43,True,False,False,False
C1ORF50,True,False,True,False
C1ORF51,True,False,False,False
C1ORF52,True,False,False,False
C1ORF53,False,True,False,False
C1ORF63,False,True,False,False
C1ORF85,False,True,False,False
C1QA,False,False,True,False
C1QB,False,False,True,False
C1QBP,False,False,True,False
C1QC,False,False,True,False
C1QTNF3,False,False,False,True
C1QTNF6,False,True,False,False
C1R,False,False,True,False
C1RL,False,True,False,False
C2,False,False,True,False
C20ORF111,True,False,False,False
C20ORF194,True,False,False,False
C20ORF195,False,True,False,False
C20ORF203,False,True,False,False
C20ORF96,False,True,False,False
C21ORF2,False,True,False,False
C21ORF33,False,True,False,False
C21ORF58,False,True,True,False
C21ORF59,False,True,False,False
C21ORF91,True,False,True,False
C22ORF23,False,False,False,True
